nx,ny,nz,N,serial_ms,parallel_ms,speedup
8,8,8,512,21.154399,24.651995,0.858121
8,16,8,1024,173.695040,50.832749,3.416991
8,16,16,2048,1888.403938,137.085368,13.775387
16,16,16,4096,21828.991770,4769.764892,4.576534
