graph,num_rows,num_cols,nnz,avg_degree,ms_t1,ms_t2,ms_t4,ms_t8,ms_t16,ms_t32,speedup_t2,speedup_t4,speedup_t8,speedup_t16,speedup_t32
chesapeake,39,39,340,8.71795,0.007281,0.050647,0.09519,0.144619,0.235085,0.446976,0.14376,0.0764891,0.0503461,0.0309718,0.0162895
hollywood-2009,1139905,1139905,113891327,99.913,293.777,211.242,137.5,92.6991,69.467,91.9081,1.39071,2.13657,3.16915,4.22902,3.19642
ldoor,952203,952203,46522475,48.8577,94.1679,93.6393,80.518,62.0053,52.8937,27.0392,1.00565,1.16953,1.51871,1.78032,3.48265
roadNet-CA,1971281,1971281,5533214,2.80691,58.5878,131.737,166.244,100.897,145.835,79.5766,0.444735,0.352421,0.580672,0.401739,0.736245
