graph,num_nodes,num_edges,avg_degree,ms_t1,ms_t2,ms_t4,ms_t8,ms_t16,ms_t32,mteps_t1,mteps_t2,mteps_t4,mteps_t8,mteps_t16,mteps_t32,speedup_t2,speedup_t4,speedup_t8,speedup_t16,speedup_t32
chesapeake,39,340,8.71795,346.265,0.198259,0.21729,0.194028,0.187474,0.186051,0.000981907,1.71493,1.56473,1.75232,1.81358,1.82746,1746.53,1593.56,1784.61,1847,1861.13
hollywood-2009,1139905,113891327,99.913,93.0723,90.8208,91.0102,83.0645,82.2797,80.0302,1223.69,1254.02,1251.41,1371.12,1384.2,1423.11,1.02479,1.02266,1.12048,1.13117,1.16297
ldoor,952203,46522475,48.8577,64.202,63.7053,63.724,53.4823,52.16,51.856,724.627,730.277,730.062,869.868,891.918,897.148,1.0078,1.0075,1.20043,1.23086,1.23808
roadNet-CA,1971281,5533214,2.80691,96.5004,94.6677,89.1278,88.3379,88.5697,88.4204,57.3388,58.4488,62.0818,62.6369,62.473,62.5785,1.01936,1.08272,1.0924,1.08954,1.09138
chesapeake,39,340,8.71795,628.986,0.345035,0.345258,0.305148,0.320875,0.340505,0.000540552,0.985407,0.984771,1.11421,1.0596,0.998517,1822.96,1821.79,2061.25,1960.22,1847.22
hollywood-2009,1139905,113891327,99.913,91.2465,89.7726,90.0099,80.8115,81.0199,79.0873,1248.17,1268.66,1265.32,1409.35,1405.72,1440.07,1.01642,1.01374,1.12913,1.12622,1.15374
ldoor,952203,46522475,48.8577,62.6457,62.2081,61.0419,51.6688,51.6505,51.517,742.629,747.852,762.14,900.399,900.716,903.051,1.00703,1.02627,1.21245,1.21288,1.21602
roadNet-CA,1971281,5533214,2.80691,88.9438,87.074,87.9376,87.3206,87.3565,88.8428,62.2102,63.5461,62.922,63.3666,63.3406,62.2809,1.02147,1.01144,1.01859,1.01817,1.00114
