graph,num_nodes,num_edges,avg_degree,ms_t1,ms_t2,ms_t4,ms_t8,ms_t16,ms_t32,mteps_t1,mteps_t2,mteps_t4,mteps_t8,mteps_t16,mteps_t32,speedup_t2,speedup_t4,speedup_t8,speedup_t16,speedup_t32
chesapeake,39,340,8.71795,0.00233,0.001571,0.001212,0.001003,0.000987,0.000864,145.923,216.423,280.528,338.983,344.478,393.519,1.48313,1.92244,2.32303,2.36069,2.69676
hollywood-2009,1139905,113891327,99.913,328.285,326.508,326.559,326.229,325.966,324.601,346.928,348.817,348.762,349.115,349.397,350.866,1.00544,1.00529,1.0063,1.00712,1.01135
ldoor,952203,46522475,48.8577,357.312,361.041,361.994,362.526,354.564,356.783,130.201,128.857,128.517,128.329,131.21,130.394,0.989672,0.987066,0.985618,1.00775,1.00148
roadNet-CA,1971281,5533214,2.80691,1494.85,1479.19,1504.77,1484.52,1497.76,1468.4,3.70151,3.7407,3.67711,3.72729,3.69432,3.7682,1.01059,0.993408,1.00696,0.998059,1.01802
chesapeake,39,340,8.71795,0.014495,0.108648,0.132628,0.212001,2.2953,1.53792
hollywood-2009,1139905,113891327,99.913,383.913,231.801,131.921,78.1347,82.717,83.3366
ldoor,952203,46522475,48.8577,387.295,215.88,122.598,68.9761,91.8249,120.543
roadNet-CA,1971281,5533214,2.80691,1498.75,869.72,459.384,280.803,416.553,459.339
chesapeake,39,340,8.71795,0.015607,0.118488,0.146015,0.227349,1.17109,1.88573
hollywood-2009,1139905,113891327,99.913,386.609,238.642,127.843,67.8401,69.1724,75.4775
ldoor,952203,46522475,48.8577,366.493,221.213,118.206,73.593,92.5003,113.862
roadNet-CA,1971281,5533214,2.80691,1527.18,800.496,476.488,266.977,443.859,462.255
